80   		#nbins
1.25		#lowbound
201.25		#highbound
0.		#alternativeKfactor
0.		#alternativeKfactorNNLO
----------------#table200
0 1.0000 
1 1.1215 
2 1.1879 
3 1.1742 
4 1.1169 
5 1.1280 
6 1.1015 
7 1.1376 
8 1.1429 
9 1.1293 
10 1.1211 
11 1.1391 
12 1.0900 
13 1.0649 
14 1.0731 
15 1.0582 
16 1.0510 
17 1.0883 
18 1.0422 
19 1.0132 
20 1.0073 
21 0.9588 
22 0.9862 
23 0.9315 
24 0.9641 
25 0.8922 
26 0.9370 
27 0.9564 
28 0.9101 
29 0.9054 
30 0.8387 
31 0.8082 
32 0.8336 
33 0.8837 
34 0.7783 
35 0.8103 
36 0.7751 
37 0.7676 
38 0.7803 
39 0.7991 
40 0.7321 
41 0.7835 
42 0.6882 
43 0.7608 
44 0.6992 
45 0.7283 
46 0.7304 
47 0.6579 
48 0.6610 
49 0.7121 
50 0.6072 
51 0.6210 
52 0.6698 
53 0.6196 
54 0.6004 
55 0.6188 
56 0.5998 
57 0.6555 
58 0.5881 
59 0.5480 
60 0.6326 
61 0.5689 
62 0.6220 
63 0.6414 
64 0.6271 
65 0.6729 
66 0.6903 
67 0.6863 
68 0.5767 
69 0.6330 
70 0.6081 
71 0.6293 
72 0.5551 
73 0.5096 
74 0.5815 
75 0.5520 
76 0.4921 
77 0.5393 
78 0.6027 
79 0.6787 
80 0.5328 
81 0.6000 
